,X,collisions
58,580,"[0.17703913248467704, 0.18060358377868596, 0.18052116495696263, 0.16993951771266985, 0.17890394814378316, 0.19812247142464354, 0.17724503831794067, 0.177069412782014, 0.17548133595284873, 0.19981923923294562, 0.19107304231660838, 0.17387546650952662, 0.1925253477953313, 0.19469860592970745, 0.177244521247349, 0.19768858838790834, 0.1840150890015325, 0.19966990214956576, 0.1909176618478944, 0.20099099453379998]"
59,590,"[0.20299822270303686, 0.19459898006490495, 0.17915749642843354, 0.2098369523220771, 0.2046191873937896, 0.22341493551625607, 0.16570081903878844, 0.17268409468278179, 0.20451209147801902, 0.19654160876949206, 0.15053888051917952, 0.18112304008650654, 0.19124521886952825, 0.20630814963517738, 0.1894740906633717, 0.1843842916167896, 0.16405405405405404, 0.19284969692289872, 0.18599351050679852, 0.17727483392553683]"
60,600,"[0.18644840290174333, 0.18968398663020358, 0.20980295379475303, 0.18465628560577288, 0.1978197287955331, 0.20126048824936407, 0.16462858878930578, 0.18437642412274038, 0.1895032659881513, 0.2014434947768281, 0.18293331307914326, 0.19768325104443601, 0.18112390288384816, 0.17618902902294484, 0.20306033337130272, 0.19133011663690588, 0.2095292331055429, 0.1695913096323306, 0.19969622175811658, 0.18110684848254643]"
61,610,"[0.1914973102211596, 0.17505233253588517, 0.19154024362902622, 0.20449194663477707, 0.2123193007358709, 0.20466940605155023, 0.2027799574038785, 0.20118033766621843, 0.18314594150386612, 0.17981178579430876, 0.18503716430732453, 0.18499290356315828, 0.19620513203600642, 0.20462354347176576, 0.19297590136372128, 0.18810253344294148, 0.19789214037448144, 0.1815397258227186, 0.1965112804422531, 0.19305783888805858]"
62,620,"[0.20594831072387046, 0.2158001102333272, 0.21084160235207644, 0.17720774686707583, 0.19986034032856775, 0.20293263753629048, 0.19811078031388982, 0.2123474040300044, 0.18200867583265937, 0.2028516830809937, 0.20599801536256385, 0.181988605035839, 0.18526818515797208, 0.2124719803035314, 0.19316761050231668, 0.21738331495773613, 0.22057743167793123, 0.20138275963518681, 0.19947091891097476, 0.2058596478329596]"
63,630,"[0.19027988717726188, 0.20141074335322842, 0.18832814423285787, 0.19791515853481975, 0.19171096886188566, 0.188431486036753, 0.20603124096037026, 0.19168566156517963, 0.20437111014618614, 0.19010087132578907, 0.21402747650036152, 0.20275013569748507, 0.22035001446340757, 0.19318099645672138, 0.18398205758935032, 0.20144639305731332, 0.2076297233773278, 0.18867105548723143, 0.19346788194444445, 0.2074256350872114]"
64,640,"[0.20425895591482088, 0.20269885352132735, 0.20738393620051268, 0.2071433658571327, 0.22773899415871207, 0.19043719737966391, 0.2197136956057261, 0.22129659297233792, 0.18216447134211464, 0.21049820163099606, 0.20722196502973542, 0.20289081134963866, 0.20715328987211, 0.22319108801651422, 0.18107098381070985, 0.216527866752082, 0.18382169687043828, 0.20433017591339647, 0.20118174699224034, 0.21027138685091532]"
65,650,"[0.21492411762644142, 0.2119820514618243, 0.2469940757878501, 0.20260086228048652, 0.2151423762098471, 0.20276239220360373, 0.20280406589554856, 0.20596481390621715, 0.21505451740700487, 0.18437007184159804, 0.2366594207979805, 0.19161466732104046, 0.1994179114944947, 0.2116652637485971, 0.19365802382620884, 0.21518721076987798, 0.20436139256038985, 0.22215988779803647, 0.19496811269184947, 0.22244425746739588]"
66,660,"[0.2054293016508945, 0.19948204419889504, 0.2210370063518365, 0.2255592377796189, 0.19507902546759612, 0.21153846153846154, 0.20571685020885835, 0.19375215740421126, 0.21312437433118162, 0.2222759454325678, 0.21000656054694244, 0.2027479545689923, 0.21167328613365569, 0.22381774249223335, 0.2038379236556913, 0.22673937051352844, 0.2057462531942814, 0.20127762430939228, 0.21440906265110174, 0.2070799516491107]"
67,670,"[0.20376729794974668, 0.1979871476658393, 0.19661201442274984, 0.2023278766633768, 0.22499659817662268, 0.21283255086071987, 0.20264616849767014, 0.19533349205809325, 0.1997210979218394, 0.19817767653758542, 0.18625548861431634, 0.20847503740987622, 0.23680898111923795, 0.2101754863283907, 0.18307320888163486, 0.2056672449569684, 0.2041566039661213, 0.22672243759776917, 0.2010211027910143, 0.2072320304793006]"
