,X,collisions
76,76,"[0.026102610261026102, 0.039580209895052475, 0.02637099190890021, 0.02638680659670165, 0.03959208158368326, 0.039085989176187615, 0.0129090363254278, 0.026402640264026403, 0.013185495954450104, 0.02638680659670165, 0.039315726290516204, 0.03924505692031156, 0.013189448441247002, 0.013181545835829839, 0.013205282112845138, 0.026347305389221556, 0.013197360527894421, 0.07793764988009592, 0.02608695652173913, 0.013193403298350824]"
77,77,"[0.038768866528558744, 0.0, 0.013060255268625705, 0.06422018348623854, 0.025785417901600473, 0.013025458851391355, 0.01243707432632514, 0.06506950606329488, 0.0, 0.02605091770278271, 0.02576251110453065, 0.0127143701951508, 0.013044767269493033, 0.02601241501625776, 0.0, 0.0, 0.02575488454706927, 0.0, 0.02603550295857988, 0.0]"
78,78,"[0.02572347266881029, 0.012846715328467153, 0.025730994152046785, 0.02568593111500292, 0.03860778005264697, 0.02573852003509798, 0.025670945157526253, 0.02571595558153127, 0.012857977790765635, 0.012854221443178498, 0.02570093457943925, 0.0, 0.01286926001754899, 0.038248175182481754, 0.02570093457943925, 0.038292896813797134, 0.012861736334405145, 0.012861736334405145, 0.038248175182481754, 0.03864168618266979]"
79,79,"[0.02509374098644361, 0.0, 0.012687427912341407, 0.05041774704696053, 0.012676462114664363, 0.025382174790885493, 0.025411492925209354, 0.0, 0.03748558246828143, 0.050808314087759814, 0.03782847242275484, 0.012672811059907835, 0.03779572994806694, 0.03780663780663781, 0.06345543697721373, 0.05046136101499423, 0.037784828381886355, 0.0, 0.012402653591000866, 0.03806228373702422]"
80,80,"[0.024786324786324785, 0.03759612645969809, 0.03759612645969809, 0.03761755485893417, 0.06266021076616349, 0.012539184952978056, 0.037026488180005694, 0.0373113073198519, 0.024508406953548018, 0.025056947608200455, 0.049273711193392196, 0.02507122507122507, 0.012532042153232698, 0.04987175833570818, 0.024772209567198177, 0.05009962994591517, 0.025106990014265335, 0.037628278221208664, 0.03735386370116909, 0.025056947608200455]"
81,81,"[0.024774774774774775, 0.024753867791842476, 0.012092238470191226, 0.024739949395558056, 0.03712035995500562, 0.04922644163150492, 0.03713080168776371, 0.061638052350126656, 0.024513947590870666, 0.061971830985915494, 0.0, 0.024760832864378166, 0.049281892424669106, 0.012397858551704706, 0.024746906636670417, 0.0, 0.024472573839662448, 0.0, 0.012376933895921238, 0.037162162162162164]"
82,82,"[0.012235817575083427, 0.024166666666666666, 0.024471635150166853, 0.036646307606885066, 0.024451236454570716, 0.0725604670558799, 0.060917941585535464, 0.0, 0.012232415902140673, 0.011934499028587288, 0.024437656206609277, 0.024193548387096774, 0.024451236454570716, 0.02447844228094576, 0.012235817575083427, 0.03611111111111111, 0.0, 0.024464831804281346, 0.012232415902140673, 0.060833333333333336]"
83,83,"[0.012084592145015106, 0.036204059243006036, 0.05989010989010989, 0.03596924766611752, 0.012074643249176729, 0.0, 0.024195765740995325, 0.03596924766611752, 0.04832509610104338, 0.036223929747530186, 0.012097882870497663, 0.04833836858006042, 0.011813186813186813, 0.0, 0.0239010989010989, 0.05993951058564751, 0.048024149286498355, 0.036243822075782535, 0.0, 0.012081274025260845]"
84,84,"[0.023900054318305268, 0.03554952510176391, 0.047412625304795446, 0.0, 0.03554952510176391, 0.035278154681139755, 0.023906547133931, 0.023622047244094488, 0.04747693977211069, 0.02387411828540423, 0.01193058568329718, 0.01193058568329718, 0.023887079261672096, 0.047735286140493625, 0.011924119241192412, 0.04720564297341291, 0.011956521739130435, 0.02385470317159122, 0.023628462791960892, 0.023906547133931]"
85,85,"[0.023311897106109324, 0.023579849946409433, 0.035111230233181454, 0.05871313672922252, 0.02356091030789826, 0.08201554543017958, 0.0, 0.02330565229038307, 0.04671140939597315, 0.02359882005899705, 0.02357353335119207, 0.02334317145156963, 0.011531241619737195, 0.011783610069630423, 0.011783610069630423, 0.02359249329758713, 0.035322451164035325, 0.046879185641575144, 0.04694206008583691, 0.01152197213290461]"
