,X,collisions
67,67,"[0.0, 0.029873039581777446, 0.0, 0.029873039581777446, 0.014936519790888723, 0.04480955937266617, 0.0, 0.014936519790888723, 0.014936519790888723, 0.0, 0.0, 0.014936519790888723, 0.0, 0.029873039581777446, 0.014936519790888723, 0.04480955937266617, 0.04480955937266617, 0.0, 0.0, 0.014936519790888723]"
68,68,"[0.0, 0.029433406916850625, 0.0, 0.0, 0.014716703458425313, 0.014716703458425313, 0.04415011037527594, 0.0, 0.0, 0.0, 0.0, 0.029433406916850625, 0.029433406916850625, 0.0, 0.04415011037527594, 0.0, 0.014716703458425313, 0.0, 0.029433406916850625, 0.0]"
69,69,"[0.028985507246376812, 0.0, 0.029006526468455404, 0.014503263234227702, 0.0, 0.014503263234227702, 0.029006526468455404, 0.014503263234227702, 0.043509789702683106, 0.043509789702683106, 0.0, 0.014503263234227702, 0.014503263234227702, 0.029006526468455404, 0.029006526468455404, 0.0, 0.014503263234227702, 0.043509789702683106, 0.029006526468455404, 0.0]"
70,70,"[0.028591851322373123, 0.0, 0.014295925661186561, 0.057183702644746245, 0.014295925661186561, 0.04288777698355969, 0.028591851322373123, 0.014295925661186561, 0.014295925661186561, 0.014295925661186561, 0.028591851322373123, 0.0, 0.028591851322373123, 0.0, 0.014295925661186561, 0.028591851322373123, 0.014295925661186561, 0.014285714285714285, 0.028591851322373123, 0.014295925661186561]"
71,71,"[0.0, 0.014094432699083862, 0.014094432699083862, 0.05637773079633545, 0.0, 0.028188865398167725, 0.0, 0.042283298097251586, 0.014094432699083862, 0.028188865398167725, 0.05637773079633545, 0.028188865398167725, 0.0, 0.0, 0.028188865398167725, 0.014094432699083862, 0.014094432699083862, 0.0, 0.014094432699083862, 0.0]"
72,72,"[0.05559416261292564, 0.04169562195969423, 0.041666666666666664, 0.01389854065323141, 0.02779708130646282, 0.01389854065323141, 0.05559416261292564, 0.02779708130646282, 0.01389854065323141, 0.01389854065323141, 0.01389854065323141, 0.01389854065323141, 0.01389854065323141, 0.01389854065323141, 0.01389854065323141, 0.02779708130646282, 0.01389854065323141, 0.04169562195969423, 0.0, 0.01389854065323141]"
73,73,"[0.013708019191226868, 0.013708019191226868, 0.013708019191226868, 0.013708019191226868, 0.013708019191226868, 0.027416038382453736, 0.013708019191226868, 0.0136986301369863, 0.027416038382453736, 0.0411240575736806, 0.0, 0.0, 0.013708019191226868, 0.0, 0.06854009595613433, 0.013708019191226868, 0.0411240575736806, 0.013708019191226868, 0.027416038382453736, 0.027416038382453736]"
74,74,"[0.013522650439486139, 0.013522650439486139, 0.027045300878972278, 0.013522650439486139, 0.013522650439486139, 0.0, 0.027045300878972278, 0.013522650439486139, 0.0, 0.013522650439486139, 0.054090601757944556, 0.027045300878972278, 0.027045300878972278, 0.0, 0.027045300878972278, 0.013522650439486139, 0.04056795131845842, 0.0, 0.013522650439486139, 0.027045300878972278]"
75,75,"[0.0, 0.0133422281521014, 0.0533689126084056, 0.0266844563042028, 0.0133422281521014, 0.0133422281521014, 0.0, 0.0266844563042028, 0.0, 0.0133422281521014, 0.0266844563042028, 0.0, 0.0133422281521014, 0.0400266844563042, 0.0266844563042028, 0.0266844563042028, 0.0133422281521014, 0.0, 0.0133422281521014, 0.0]"
76,76,"[0.013166556945358789, 0.026333113890717578, 0.0, 0.0, 0.013166556945358789, 0.03949967083607637, 0.0, 0.013166556945358789, 0.052666227781435156, 0.0, 0.013166556945358789, 0.013166556945358789, 0.013166556945358789, 0.013166556945358789, 0.03949967083607637, 0.0, 0.026333113890717578, 0.06583278472679395, 0.0, 0.03949967083607637]"
77,77,"[0.02599090318388564, 0.01299545159194282, 0.02599090318388564, 0.02599090318388564, 0.09096816114359974, 0.03898635477582846, 0.01299545159194282, 0.0, 0.03898635477582846, 0.03898635477582846, 0.05198180636777128, 0.05198180636777128, 0.0, 0.01299545159194282, 0.0, 0.0, 0.01299545159194282, 0.01299545159194282, 0.01299545159194282, 0.01299545159194282]"
78,78,"[0.0, 0.012828736369467608, 0.0, 0.03848620910840282, 0.03848620910840282, 0.0, 0.012828736369467608, 0.012828736369467608, 0.025657472738935216, 0.05128205128205128, 0.0, 0.012828736369467608, 0.0, 0.012828736369467608, 0.012828736369467608, 0.012828736369467608, 0.06414368184733804, 0.012828736369467608, 0.012828736369467608, 0.025657472738935216]"
79,79,"[0.01266624445851805, 0.0253324889170361, 0.01266624445851805, 0.01266624445851805, 0.0253324889170361, 0.01266624445851805, 0.012658227848101266, 0.01266624445851805, 0.01266624445851805, 0.03799873337555415, 0.01266624445851805, 0.0, 0.01266624445851805, 0.01266624445851805, 0.03799873337555415, 0.0, 0.01266624445851805, 0.01266624445851805, 0.01266624445851805, 0.0]"
80,80,"[0.0375234521575985, 0.012507817385866166, 0.025, 0.012507817385866166, 0.012507817385866166, 0.0, 0.012507817385866166, 0.012507817385866166, 0.012507817385866166, 0.0, 0.050031269543464665, 0.025015634771732333, 0.025015634771732333, 0.025015634771732333, 0.025015634771732333, 0.0375234521575985, 0.0375234521575985, 0.025015634771732333, 0.012507817385866166, 0.012507817385866166]"
81,81,"[0.02470660901791229, 0.04941321803582458, 0.06176652254478073, 0.02470660901791229, 0.02470660901791229, 0.02470660901791229, 0.02470660901791229, 0.012353304508956145, 0.02470660901791229, 0.012345679012345678, 0.0, 0.0, 0.012353304508956145, 0.02470660901791229, 0.0, 0.012353304508956145, 0.0, 0.02470660901791229, 0.03705991352686844, 0.03705991352686844]"
82,82,"[0.012202562538133009, 0.024405125076266018, 0.024405125076266018, 0.012202562538133009, 0.024405125076266018, 0.024405125076266018, 0.024405125076266018, 0.036607687614399025, 0.024390243902439025, 0.07321537522879805, 0.024405125076266018, 0.024405125076266018, 0.0, 0.06101281269066504, 0.048810250152532035, 0.024405125076266018, 0.036607687614399025, 0.036607687614399025, 0.0, 0.012202562538133009]"
83,83,"[0.012055455093429777, 0.03616636528028933, 0.0, 0.024110910186859555, 0.04822182037371911, 0.012055455093429777, 0.024110910186859555, 0.024110910186859555, 0.024110910186859555, 0.012055455093429777, 0.06027727546714889, 0.024110910186859555, 0.03616636528028933, 0.012055455093429777, 0.03616636528028933, 0.012055455093429777, 0.0, 0.03616636528028933, 0.03616636528028933, 0.0]"
84,84,"[0.0, 0.047647409172126266, 0.011911852293031567, 0.0, 0.0, 0.0, 0.023823704586063133, 0.011911852293031567, 0.011911852293031567, 0.0, 0.023823704586063133, 0.023823704586063133, 0.0, 0.023823704586063133, 0.0, 0.047647409172126266, 0.011911852293031567, 0.011911852293031567, 0.023823704586063133, 0.0357355568790947]"
85,85,"[0.011771630370806356, 0.023543260741612712, 0.047086521483225424, 0.011771630370806356, 0.047086521483225424, 0.011771630370806356, 0.0, 0.03531489111241907, 0.023543260741612712, 0.0, 0.03531489111241907, 0.023543260741612712, 0.047086521483225424, 0.0, 0.047086521483225424, 0.047086521483225424, 0.011771630370806356, 0.023543260741612712, 0.047086521483225424, 0.0]"
86,86,"[0.04653868528214078, 0.0, 0.02326934264107039, 0.034904013961605584, 0.02326934264107039, 0.011634671320535195, 0.011634671320535195, 0.02326934264107039, 0.011634671320535195, 0.011634671320535195, 0.02326934264107039, 0.034904013961605584, 0.011634671320535195, 0.034904013961605584, 0.034904013961605584, 0.0, 0.011634671320535195, 0.034904013961605584, 0.034904013961605584, 0.02326934264107039]"
87,87,"[0.034502587694077054, 0.0, 0.023001725129384705, 0.04600345025876941, 0.034482758620689655, 0.04600345025876941, 0.011500862564692352, 0.011500862564692352, 0.023001725129384705, 0.034502587694077054, 0.06900517538815411, 0.0, 0.011500862564692352, 0.023001725129384705, 0.011500862564692352, 0.022988505747126436, 0.011500862564692352, 0.011500862564692352, 0.023001725129384705, 0.023001725129384705]"
88,88,"[0.01137009664582149, 0.05685048322910745, 0.0, 0.02274019329164298, 0.05685048322910745, 0.02274019329164298, 0.03411028993746447, 0.02274019329164298, 0.01137009664582149, 0.03411028993746447, 0.0, 0.02274019329164298, 0.03411028993746447, 0.02274019329164298, 0.02274019329164298, 0.02274019329164298, 0.02274019329164298, 0.03411028993746447, 0.03411028993746447, 0.02274019329164298]"
89,89,"[0.022484541877459248, 0.03372681281618887, 0.022484541877459248, 0.022484541877459248, 0.011242270938729624, 0.044969083754918496, 0.0, 0.0, 0.044969083754918496, 0.03372681281618887, 0.03372681281618887, 0.056211354693648116, 0.03372681281618887, 0.044969083754918496, 0.0, 0.011235955056179775, 0.022484541877459248, 0.03372681281618887, 0.0, 0.03372681281618887]"
90,90,"[0.022234574763757644, 0.07782101167315175, 0.0, 0.011117287381878822, 0.033351862145636464, 0.033351862145636464, 0.011117287381878822, 0.011117287381878822, 0.022234574763757644, 0.022234574763757644, 0.022222222222222223, 0.022234574763757644, 0.011117287381878822, 0.033351862145636464, 0.04446914952751529, 0.011117287381878822, 0.033351862145636464, 0.011117287381878822, 0.055586436909394105, 0.022234574763757644]"
91,91,"[0.032985156679494226, 0.010995052226498075, 0.010995052226498075, 0.02199010445299615, 0.010995052226498075, 0.0, 0.02199010445299615, 0.032985156679494226, 0.010995052226498075, 0.010995052226498075, 0.02199010445299615, 0.02199010445299615, 0.032985156679494226, 0.010995052226498075, 0.010995052226498075, 0.02199010445299615, 0.0439802089059923, 0.032985156679494226, 0.0439802089059923, 0.010995052226498075]"
92,92,"[0.010875475802066341, 0.06525285481239804, 0.021750951604132682, 0.043501903208265365, 0.021750951604132682, 0.0, 0.043501903208265365, 0.021750951604132682, 0.0, 0.0, 0.021750951604132682, 0.03262642740619902, 0.043501903208265365, 0.0, 0.043501903208265365, 0.010875475802066341, 0.010875475802066341, 0.010875475802066341, 0.010875475802066341, 0.03262642740619902]"
