,X,collisions
48,480,"[0.1333472236691322, 0.14793207625794352, 0.131263673299302, 0.1125117199708303, 0.1291801229294718, 0.11876237108032087, 0.11876237108032087, 0.12501302218981145, 0.12501302218981145, 0.13751432440879258, 0.13751432440879258, 0.10626106886133972, 0.1354307740389624, 0.11459527034066049, 0.15001562662777373, 0.1291801229294718, 0.12292947181998125, 0.11667882071049068, 0.12083333333333333, 0.12084592145015106]"
49,490,"[0.10409225431166445, 0.1489947953872844, 0.1469387755102041, 0.1306122448979592, 0.11021532809470354, 0.1347076232268599, 0.12042045106643536, 0.10817430350035719, 0.11021532809470354, 0.1122563526890499, 0.11837942647208899, 0.12246147566078171, 0.13062557403816716, 0.11633840187774262, 0.11021532809470354, 0.11429737728339627, 0.14083069700989898, 0.12246147566078171, 0.1326665986325135, 0.1551178691703235]"
50,500,"[0.132013201320132, 0.13601360136013602, 0.134013401340134, 0.09800980098009801, 0.134013401340134, 0.12001200120012001, 0.134013401340134, 0.126012601260126, 0.134013401340134, 0.11201120112011201, 0.128012801280128, 0.14601460146014603, 0.13601360136013602, 0.11401140114011402, 0.132013201320132, 0.12001200120012001, 0.11601160116011601, 0.156015601560156, 0.11601160116011601, 0.13801380138013802]"
51,510,"[0.12550250024512208, 0.14119031277576233, 0.13726835964310227, 0.12352941176470589, 0.10981468771448182, 0.11961957054613197, 0.11961957054613197, 0.10000980488283165, 0.16668300813805276, 0.10981468771448182, 0.10981468771448182, 0.11569761741347191, 0.10393175801549172, 0.13726835964310227, 0.13138542994411218, 0.14315128934209237, 0.1333464065104422, 0.14119031277576233, 0.1333464065104422, 0.14315128934209237]"
52,520,"[0.14232137705548611, 0.13462832964708146, 0.1480911626117896, 0.12885854409077796, 0.15963073372439657, 0.15963073372439657, 0.12885854409077796, 0.1384748533512838, 0.14616790075968844, 0.12693528223867678, 0.14232137705548611, 0.12501202038657563, 0.1538609481680931, 0.1538609481680931, 0.1480911626117896, 0.13462832964708146, 0.12885854409077796, 0.1326923076923077, 0.11539571112606982, 0.1365515914991826]"
53,530,"[0.1320754716981132, 0.11321822813472969, 0.14340975563732428, 0.11887913954146617, 0.12454005094820265, 0.13963581469949995, 0.13020096235493914, 0.13774884423058778, 0.15473157845079724, 0.13584905660377358, 0.09433962264150944, 0.1320879328238513, 0.11699216907255401, 0.10755731672799321, 0.1415227851684121, 0.128313991886027, 0.12642702141711482, 0.13020096235493914, 0.14907066704406077, 0.15661854891970942]"
54,540,"[0.1426057968330401, 0.12408556347809982, 0.12223354014260579, 0.1648148148148148, 0.15186591351051024, 0.12778961014908788, 0.12778961014908788, 0.14075377349754606, 0.15186591351051024, 0.13149365682007594, 0.11481481481481481, 0.1555699601814983, 0.16668210019446245, 0.1426057968330401, 0.12778961014908788, 0.1296416334845819, 0.14816186683952218, 0.11482544680062969, 0.13704972682655803, 0.12408556347809982]"
55,550,"[0.14909090909090908, 0.152741158287117, 0.12545454545454546, 0.1436494226747886, 0.16546958814437676, 0.13092099281752886, 0.12364760432766615, 0.13092099281752886, 0.14183107555232294, 0.1436494226747886, 0.13092099281752886, 0.13637603418492592, 0.14183107555232294, 0.15272727272727274, 0.1618328938994454, 0.14728611691971996, 0.1436494226747886, 0.13092099281752886, 0.12001091008273479, 0.14183107555232294]"
56,560,"[0.1375, 0.14286989909813377, 0.14822752031431377, 0.14465577283686043, 0.14644164657558711, 0.14286989909813377, 0.11965354049468703, 0.12501116171086704, 0.16251451022412716, 0.1392857142857143, 0.1535851415304938, 0.15714285714285714, 0.15537101526922045, 0.16965800517903384, 0.15543255066511918, 0.15894276274667382, 0.13035714285714287, 0.18215912135012055, 0.11251004553978033, 0.11786766675596036]"
57,570,"[0.10176331257127819, 0.13859649122807016, 0.15087719298245614, 0.14387226949732432, 0.14036318975348716, 0.1456268093692429, 0.15615404860075446, 0.13509957013773138, 0.13860864988156857, 0.12106325116238266, 0.1456268093692429, 0.13509957013773138, 0.1456268093692429, 0.13685411000964998, 0.1456268093692429, 0.1614176682165102, 0.15439950872883587, 0.12106325116238266, 0.1456140350877193, 0.1298359505219756]"
58,580,"[0.1396672126907492, 0.1431157858436072, 0.14828864557289423, 0.17932580394861625, 0.11897577377360118, 0.1431157858436072, 0.12932149323217518, 0.1396672126907492, 0.13104577980860418, 0.16380722476075524, 0.16035865160789722, 0.16380722476075524, 0.17587723079575826, 0.14656435899646522, 0.1258729200793172, 0.14484007242003621, 0.12932149323217518, 0.16034482758620688, 0.1396672126907492, 0.1413793103448276]"
59,590,"[0.13050847457627118, 0.15425036020001695, 0.1627256547165014, 0.13221459445715739, 0.13899483007034494, 0.11187388761759472, 0.13729977116704806, 0.17459106703957963, 0.15594541910331383, 0.1457750656835325, 0.13560471226375118, 0.15594541910331383, 0.1288244766505636, 0.1288244766505636, 0.15764047800661074, 0.17289600813628273, 0.14916518349012628, 0.15423728813559323, 0.15255530129672007, 0.1644207136197983]"
60,600,"[0.15333333333333332, 0.15834652887740644, 0.1483456954746229, 0.1733477789815818, 0.14166666666666666, 0.1733477789815818, 0.1400116676389699, 0.15, 0.14667888990749228, 0.14667888990749228, 0.16334694557879822, 0.1700141678473206, 0.13834486207183933, 0.14667888990749228, 0.15834652887740644, 0.145, 0.1433452787732311, 0.16501375114592884, 0.13501125093757813, 0.1483456954746229]"
