,index,all_backshifts,number_sensors_shifted
586,586,92.8,62.2
587,587,98.8,67.4
588,588,106.4,66.0
589,589,97.8,63.0
590,590,101.0,64.4
591,591,97.6,62.6
592,592,102.0,65.0
593,593,99.4,65.0
594,594,101.0,65.8
595,595,115.2,72.4
596,596,107.2,67.0
597,597,100.8,66.8
598,598,93.0,65.0
599,599,105.8,68.0
600,600,97.0,65.0
601,601,117.8,72.0
602,602,106.4,69.0
603,603,116.0,76.8
604,604,96.0,64.0
605,605,98.2,62.6
606,606,114.8,78.4
607,607,104.8,67.2
608,608,110.0,74.6
609,609,117.8,79.2
610,610,109.0,68.2
611,611,100.2,69.6
612,612,104.6,70.6
613,613,100.2,65.4
614,614,115.4,70.4
615,615,99.4,67.6
616,616,95.4,63.2
617,617,103.4,69.0
618,618,108.8,73.2
619,619,119.6,76.6
620,620,114.0,71.4
621,621,109.2,68.2
622,622,113.2,73.4
623,623,122.0,80.4
624,624,113.0,70.8
625,625,106.8,71.4
626,626,116.2,75.8
627,627,113.2,72.4
628,628,96.8,68.4
629,629,111.2,73.6
630,630,108.6,71.8
631,631,106.8,69.2
632,632,109.2,73.2
633,633,119.8,76.0
634,634,113.0,71.8
635,635,108.0,72.6
636,636,110.4,72.2
637,637,109.8,75.0
638,638,117.8,73.8
639,639,107.4,69.8
640,640,112.8,73.4
641,641,125.6,76.8
642,642,127.6,82.8
643,643,117.2,77.0
644,644,130.8,78.8
645,645,129.4,80.0
646,646,117.8,76.6
647,647,132.8,85.0
648,648,125.2,84.8
649,649,121.0,77.2
650,650,121.8,77.2
651,651,115.2,77.4
652,652,115.4,74.2
653,653,118.8,77.2
654,654,137.4,85.2
655,655,118.2,76.0
656,656,117.6,79.6
657,657,125.6,80.6
658,658,129.4,84.2
659,659,136.0,88.8
660,660,133.2,84.4
661,661,131.6,79.8
662,662,116.6,73.4
663,663,121.4,78.0
664,664,134.4,87.4
665,665,140.6,87.4
666,666,124.4,82.8
667,667,132.4,89.2
668,668,137.0,86.4
669,669,131.0,82.6
670,670,137.2,85.2
671,671,129.4,80.8
672,672,140.8,90.2
673,673,133.8,84.2
674,674,123.6,84.0
675,675,131.2,85.6
676,676,120.0,81.0
677,677,137.6,93.2
678,678,129.2,86.2
679,679,129.0,86.4
680,680,120.4,79.6
681,681,151.2,91.0
682,682,145.0,89.2
683,683,130.8,83.8
684,684,128.2,84.4
685,685,145.2,92.2
686,686,133.6,85.6
687,687,137.0,89.6
688,688,143.2,91.0
689,689,121.4,84.2
690,690,155.0,97.4
691,691,131.8,83.8
692,692,125.4,86.0
693,693,134.8,84.6
694,694,143.8,95.0
695,695,155.2,96.2
696,696,146.6,90.2
697,697,141.2,88.2
698,698,124.6,82.4
699,699,140.6,90.4
700,700,143.2,91.2
701,701,157.8,99.0
702,702,147.6,94.6
703,703,154.6,96.0
704,704,149.2,93.2
705,705,153.4,98.8
706,706,150.0,92.6
707,707,130.0,83.0
708,708,148.0,97.2
709,709,150.4,94.6
710,710,133.6,86.2
711,711,156.0,99.4
712,712,135.8,86.2
713,713,147.2,92.6
714,714,158.6,96.4
715,715,141.2,88.2
716,716,138.6,93.2
717,717,148.2,93.8
718,718,164.6,100.6
719,719,153.2,100.6
720,720,161.2,97.2
721,721,144.0,90.8
722,722,162.2,99.2
723,723,164.6,98.8
724,724,170.6,105.8
725,725,159.2,99.0
726,726,154.2,95.6
727,727,137.6,88.4
728,728,166.8,107.8
729,729,153.8,99.8
730,730,157.0,100.8
731,731,148.8,90.8
732,732,162.2,103.2
733,733,151.4,98.4
734,734,159.0,101.4
735,735,162.4,103.2
736,736,180.6,111.4
737,737,159.8,99.2
738,738,161.8,100.6
739,739,182.8,108.2
740,740,166.4,102.0
741,741,161.8,100.4
742,742,157.6,99.0
743,743,160.2,105.2
744,744,157.4,96.6
745,745,165.0,98.8
746,746,167.4,105.8
747,747,168.6,107.2
748,748,159.8,103.6
749,749,169.0,107.6
750,750,174.8,103.8
751,751,165.2,105.8
752,752,170.4,106.2
753,753,178.2,105.8
754,754,158.8,103.4
755,755,176.6,106.6
756,756,161.6,101.0
757,757,188.8,115.0
758,758,182.6,113.8
759,759,159.0,103.8
760,760,195.0,115.2
761,761,162.0,106.0
762,762,175.6,105.4
763,763,172.2,105.8
764,764,166.6,105.6
765,765,172.2,110.6
766,766,154.0,100.8
767,767,183.6,113.8
768,768,164.6,106.6
769,769,167.8,111.8
770,770,177.6,112.6
771,771,179.2,112.8
772,772,198.2,117.8
773,773,176.4,110.8
774,774,166.8,106.4
775,775,173.6,113.2
776,776,185.4,116.2
777,777,180.0,113.4
